product_name,price,image_url,category_name,receive_date,expiry_date,status,quantity
มะม่วง น้ำดอกไม้ สุก คัดพิเศษ แพ็ค 3 ลูก,129.00,https://o2o-static.lotuss.com/products/107654/75653387.jpg,ผลไม้,,2026-03-07,normal,0
สตรอเบอร์รี่ สีขาว แพ็คละ,299.00,https://o2o-static.lotuss.com/products/107654/75720714.jpg,ผลไม้,,2026-03-02,normal,0
บลูเบอร์รี่สด 250 กรัม แพ็คละ,189.00,https://o2o-static.lotuss.com/products/107654/52657566.jpg,ผลไม้,,2026-02-28,normal,0
สตรอเบอร์รี่ สีขาวแดง แพ็คละ,299.00,https://o2o-static.lotuss.com/products/107654/75720715.jpg,ผลไม้,,2026-02-28,normal,0
เชอร์รี่ นิวซีแลนด์ แพ็คละ,599.00,https://o2o-static.lotuss.com/products/107654/75721894.jpg,ผลไม้,,2026-03-09,normal,0
ดริสคอลล์ส ราสเบอร์รี่สด 120 กรัม แพ็คละ,179.00,https://o2o-static.lotuss.com/products/107654/75715134.jpg,ผลไม้,,2026-03-04,normal,0
ส้มวอกัน 6.5 กก. ลังละ,599.00,https://o2o-static.lotuss.com/products/107654/75720346.jpg,ผลไม้,,2026-03-03,normal,0
สตรอเบอร์รี่เกาหลี 300 กรัม แพ็คละ,179.00,https://o2o-static.lotuss.com/products/107654/75714915.jpg,ผลไม้,,2026-03-03,normal,0
สตรอเบอร์รี่เกาหลี 300 กรัม แพ็คละ,179.00,https://o2o-static.lotuss.com/products/107654/75714916.jpg,ผลไม้,,2026-02-27,normal,0
เชอร์รี่ 450 กรัม แพ็คละ,179.00,https://o2o-static.lotuss.com/products/107654/75705095.jpg,ผลไม้,,2026-03-06,normal,0
เชอร์รี่ 300 กรัม แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75705097.jpg,ผลไม้,,2026-03-10,normal,0
สาลี่ออทัมน์มูน แพ็คละ,119.00,https://o2o-static.lotuss.com/products/107654/75711793.jpg,ผลไม้,,2026-03-09,normal,0
สตรอเบอร์รี่คิงเบอร์รี่ แพ็คละ,499.00,https://o2o-static.lotuss.com/products/107654/75639677.jpg,ผลไม้,,2026-03-10,normal,0
ส้มซาถัง แพ็คละ,129.00,https://o2o-static.lotuss.com/products/107654/75624868.jpg,ผลไม้,,2026-03-03,normal,0
องุ่นไชน์มัสแคท 800 กรัม แพ็คละ,299.00,https://o2o-static.lotuss.com/products/107654/75702713.jpg,ผลไม้,,2026-03-06,normal,0
โลตัส สมูทตี้ เบอร์รี่สควีซ 340 กรัม,85.00,https://o2o-static.lotuss.com/products/107654/75644953.jpg,ผลไม้,,2026-03-06,normal,0
โลตัส สมูทตี้ แอปเปิ้ลครัช 340 กรัม,85.00,https://o2o-static.lotuss.com/products/107654/75644954.jpg,ผลไม้,,2026-03-08,normal,0
โลตัส สมูทตี้ อโวคาโดดีไลท์ 340 กรัม,85.00,https://o2o-static.lotuss.com/products/107654/75644955.jpg,ผลไม้,,2026-03-07,normal,0
แอปเปิ้ลเอนวี่ 2 ลูก แพ็คละ,189.00,https://o2o-static.lotuss.com/products/107654/20529376.jpg,ผลไม้,,2026-03-05,normal,0
สาลี่ออทัมฮันนี่ 4 ลูก แพ็คละ,169.00,https://o2o-static.lotuss.com/products/107654/75622003.jpg,ผลไม้,,2026-03-06,normal,0
สาลี่ออทัมฮันนี่ 2 ลูก แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75690544.jpg,ผลไม้,,2026-03-01,normal,0
อโวคาโดไทยแฮส (1 กก.) แพ็คละ,119.00,https://o2o-static.lotuss.com/products/107654/75616088.jpg,ผลไม้,,2026-03-09,normal,0
องุ่นไชน์มัสแคทเกาหลี 450 กรัม แพ็คละ,219.00,https://o2o-static.lotuss.com/products/107654/52175560.jpg,ผลไม้,,2026-03-02,normal,0
ส้มนาเวลคาราคาร่า 1.4 KG. แพ็คละ,139.00,https://o2o-static.lotuss.com/products/107654/75670751.jpg,ผลไม้,,2026-03-05,normal,0
ส้มนาเวลคาราคาร่า 1.4 KG. แพ็คละ,139.00,https://o2o-static.lotuss.com/products/107654/75674891.jpg,ผลไม้,,2026-02-28,normal,0
องุ่นไชน์มัสแคท บิ๊กแพ็ค แพ็คละ,199.00,https://o2o-static.lotuss.com/products/107654/52358367.jpg,ผลไม้,,2026-03-03,normal,0
